fdc_id,protein_g,fat_g,carbs_g,energy_kcal,fiber_g,food_name,dry_mass_g,energy_density,protein_ratio,fat_ratio,carbs_ratio,protein_category
167547,10.2,31.1,53.4,508.0,2.8,"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",97.49999999999999,5.157360406091371,0.1035532994923858,0.3157360406091371,0.5421319796954316,Low Protein
167548,9.8,20.0,62.2,432.0,4.2,"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip",96.2,4.444444444444445,0.10082304526748971,0.205761316872428,0.6399176954732511,Low Protein
167549,7.29,43.55,45.06,583.0,8.1,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",104.0,5.552380952380952,0.06942857142857142,0.4147619047619047,0.42914285714285716,Low Protein
167550,9.7,3.1,80.1,384.0,2.9,"Snacks, popcorn, cakes",95.8,3.9669421487603307,0.10020661157024793,0.032024793388429756,0.8274793388429752,Low Protein
167551,6.4,7.8,80.7,400.0,3.8,"Snacks, popcorn, caramel-coated, with peanuts",98.7,4.012036108324975,0.0641925777331996,0.078234704112337,0.8094282848545638,Low Protein
167552,3.8,12.8,79.1,431.0,5.2,"Snacks, popcorn, caramel-coated, without peanuts",100.89999999999999,4.229636898920511,0.03729146221786065,0.12561334641805694,0.7762512266928361,Low Protein
167553,4.56,26.14,64.76,502.0,3.2,"Snacks, potato chips, made from dried potatoes, reduced fat",98.66000000000001,5.037126229179209,0.04575556893437687,0.2622917920931166,0.6498093517961068,Low Protein
167554,6.6,37.0,51.3,547.0,1.2,"Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor",96.10000000000001,5.633367662203913,0.06797116374871266,0.3810504634397528,0.5283213182286302,Low Protein
167555,10.04,2.93,80.39,384.0,3.4,"Snacks, pretzels, hard, plain, salted",96.76,3.9279869067103106,0.10270049099836333,0.029971358428805238,0.8223199672667757,Low Protein
167556,7.5,16.7,70.9,457.0,2.4,"Snacks, pretzels, hard, confectioner's coating, chocolate-flavor",97.50000000000001,4.639593908629441,0.07614213197969542,0.1695431472081218,0.7197969543147208,Low Protein
167557,7.6,3.8,81.5,392.0,5.4,"Snacks, rice cakes, brown rice, sesame seed",98.30000000000001,3.9476334340382673,0.07653575025176232,0.03826787512588116,0.8207452165156092,Low Protein
167558,7.1,20.68,67.78,472.0,5.4,"Snacks, tortilla chips, plain, white corn, salted",100.96000000000001,4.6292663789721455,0.06963515103962337,0.20282463711259316,0.6647704982346018,Low Protein
167559,7.36,27.42,60.81,519.0,5.1,"Snacks, tortilla chips, nacho cheese",100.69,5.103746681089586,0.0723768315468581,0.2696430327465828,0.5979939030386469,Low Protein
167560,7.19,24.63,62.74,501.0,4.0,"Snacks, tortilla chips, ranch-flavor",98.56,5.032141422257935,0.0722177581357975,0.24738850944154278,0.6301727601446364,Low Protein
167562,4.13,26.93,59.51,479.0,5.0,"Candies, ALMOND JOY Candy Bar",95.57,4.960132546339444,0.042766904835870354,0.2788650719685203,0.6162369265817542,Low Protein
167563,2.97,1.7,79.38,338.0,0.1,"Candies, TWIZZLERS CHERRY BITES",84.14999999999999,3.9694656488549622,0.0348796241926013,0.01996476805637111,0.9322372284204345,Low Protein
167564,2.0,7.5,80.89,388.0,0.2,"Candies, NESTLE, BIT-O'-HONEY Candy Chews",90.59,4.236270335189431,0.021836445026749644,0.08188666885031116,0.8831750191068893,Low Protein
167565,5.4,18.9,72.9,459.0,2.0,"Candies, NESTLE, BUTTERFINGER Bar",99.2,4.580838323353293,0.05389221556886228,0.18862275449101795,0.7275449101796407,Low Protein
167566,1.59,3.31,87.73,387.0,0.1,"Candies, caramels, chocolate-flavor roll",92.73,4.128880827909954,0.01696361890536648,0.035314200362744054,0.935986343753334,Low Protein
167567,12.1,47.7,36.2,472.0,18.1,"Baking chocolate, unsweetened, liquid",114.1,4.100781928757602,0.10512597741094701,0.4144222415291052,0.31450912250217206,Low Protein
167568,14.32,52.31,28.42,642.0,16.6,"Baking chocolate, unsweetened, squares",111.65,5.699067909454061,0.12711939636040834,0.464358632933866,0.2522858411007545,Low Protein
167569,5.87,27.0,63.94,522.0,0.0,"Candies, confectioner's coating, yogurt",96.81,5.336877619875268,0.06001431346488089,0.2760453941314794,0.6537163889172886,Low Protein
167570,18.3,29.8,46.88,529.0,5.0,"Candies, confectioner's coating, peanut butter",99.98,5.238661121014062,0.18122400475341652,0.29510794216676567,0.4642503466032878,Medium Protein
167571,5.87,32.09,59.24,539.0,0.2,"Candies, white chocolate",97.4,5.477642276422764,0.05965447154471545,0.3261178861788618,0.6020325203252033,Low Protein
167572,4.78,4.83,29.46,180.0,0.3,"Ice creams, vanilla, light",39.37,4.458756502353233,0.11840475600693585,0.11964329947981175,0.7297498142184792,Low Protein
167573,3.5,16.2,22.29,249.0,0.0,"Ice creams, vanilla, rich",41.989999999999995,5.792044661549198,0.08141428239125378,0.3768318213538032,0.5184926727145849,Low Protein
167574,4.53,4.03,22.78,145.0,0.0,"Desserts, flan, caramel custard, prepared-from-recipe",31.340000000000003,4.483611626468769,0.14007421150278293,0.12461348175633889,0.7043908472479901,Low Protein
167575,3.5,11.0,23.6,207.0,0.7,"Ice creams, vanilla",38.800000000000004,5.201005025125627,0.0879396984924623,0.27638190954773867,0.592964824120603,Low Protein
167576,4.9,2.6,21.8,126.0,0.0,"Ice creams, vanilla, light, soft-serve",29.3,4.158415841584159,0.16171617161716173,0.0858085808580858,0.7194719471947195,Medium Protein
167577,1.1,2.0,30.4,144.0,1.3,"Sherbet, orange",34.8,4.022346368715084,0.03072625698324023,0.0558659217877095,0.8491620111731844,Low Protein
167578,3.78,6.59,77.75,387.0,0.7,"Candies, fudge, peanut butter, prepared-from-recipe",88.82000000000001,4.3086172344689375,0.04208416833667334,0.07336896014250723,0.8656201291471832,Low Protein
167579,1.05,5.45,82.15,383.0,0.0,"Candies, fudge, vanilla, prepared-from-recipe",88.65,4.272169548243167,0.011712214166201896,0.060791968767428886,0.9163413273842722,Low Protein
167580,3.0,13.69,74.61,435.0,0.9,"Candies, fudge, vanilla with nuts",92.2,4.667381974248927,0.032188841201716736,0.14688841201716737,0.8005364806866953,Low Protein
